id,date,source,titre,contenu,score,sentiment,confiance,poids,score_pondere,url
1,2026-01-09 17:06,Yahoo Entertainment,"Jim Cramer Says “Going Forward, I Still Feel Pretty Good About Microsoft”","Jim Cramer Says “Going Forward, I Still Feel Pretty Good About Microsoft”. Microsoft Corporation (NASDAQ:MSFT) is one of the Magnificent Seven stocks Jim Cramer recently reviewed. Cramer said that he ...",1.0,positive,0.1,0.9,0.9,https://finance.yahoo.com/news/jim-cramer-says-going-forward-170631870.html
2,2026-01-09 09:21,Yahoo Entertainment,Microsoft Corporation (MSFT) Announces the Acquisition of Osmos,Microsoft Corporation (MSFT) Announces the Acquisition of Osmos. Microsoft Corporation (NASDAQ:MSFT) is one of the best major stocks to invest in right now. Microsoft Corporation (NASDAQ:MSFT) announc...,0.0,neutral,0.1,0.9,0.0,https://finance.yahoo.com/news/microsoft-corporation-msft-announces-acquisition-092140915.html
3,2026-01-09 02:37,TheStreet,30-year veteran analyst reveals game plan for 2026,"30-year veteran analyst reveals game plan for 2026. Sam Stovall has been navigating stocks for a long time. Stovall is the Chief Investment Strategist at CFRA, and his stock market experience is roote...",0.0,neutral,0.1,0.9,0.0,https://www.thestreet.com/investing/stocks/wall-street-strategist-sam-stovall-lays-out-gameplan-for-2026
