id,date,source,titre,contenu,score,sentiment,confiance,poids,score_pondere,url
1,2026-01-09 17:07,Yahoo Entertainment,"Apple (AAPL)’s “the Winner With Gemini,” Says Jim Cramer","Apple (AAPL)’s “the Winner With Gemini,” Says Jim Cramer. We recently published 9 Stocks Jim Cramer Talked About. Apple Inc. (NASDAQ:AAPL) is one of the stocks Jim Cramer talked about. Apple Inc. (NAS...",1.0,positive,0.1,0.9,0.9,https://finance.yahoo.com/news/apple-aapl-winner-gemini-says-170715385.html
2,2026-01-09 17:28,Macdailynews.com,"Apple stock is on a continuing losing streak, but Evercore remains bullish","Apple stock is on a continuing losing streak, but Evercore remains bullish. Analysts at Evercore ISI suggest that investors, who have turned bearish on Apple stock at the start of 2026, should reconsi...",0.0,neutral,0.2,1.08,0.0,https://macdailynews.com/2026/01/09/apple-stock-is-on-a-continuing-losing-streak-but-evercore-remains-bullish/
3,2026-01-09 17:06,Yahoo Entertainment,Jim Cramer Says “Apple Deserves a Premium Multiple Given How Great It Is”,Jim Cramer Says “Apple Deserves a Premium Multiple Given How Great It Is”. Apple Inc. (NASDAQ:AAPL) is one of the Magnificent Seven stocks Jim Cramer recently reviewed. Cramer noted how the company pr...,0.0,neutral,0.1,0.9,0.0,https://finance.yahoo.com/news/jim-cramer-says-apple-deserves-170635064.html
4,2026-01-09 02:37,TheStreet,30-year veteran analyst reveals game plan for 2026,"30-year veteran analyst reveals game plan for 2026. Sam Stovall has been navigating stocks for a long time. Stovall is the Chief Investment Strategist at CFRA, and his stock market experience is roote...",0.0,neutral,0.1,0.9,0.0,https://www.thestreet.com/investing/stocks/wall-street-strategist-sam-stovall-lays-out-gameplan-for-2026
5,2026-01-09 03:14,Biztoc.com,Engineering Chief John Ternus Is Frontrunner to Succeed Tim Cook as CEO,Engineering Chief John Ternus Is Frontrunner to Succeed Tim Cook as CEO. Apple’s (AAPL) hardware engineering chief John Ternus has emerged as the leading candidate to replace CEO Tim Cook when he reti...,0.0,neutral,0.1,1.08,0.0,https://biztoc.com/x/91839948f745003f
