id,date,source,titre,contenu,score,sentiment,confiance,poids,score_pondere,url
1,2026-01-10 16:00,Yahoo Entertainment,Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving,"Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving. ""The ChatGPT moment for physical AI is here — when machines begin to understand, reason, and act in the real w...",0.0,neutral,0.1,0.9,0.0,https://finance.yahoo.com/news/nvidia-takes-on-tesla-with-what-jensen-huang-calls-the-chatgpt-moment-for-self-driving-160045664.html
2,2026-01-10 14:13,Yahoo Entertainment,"If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now","If You Invested $500 or More in Tesla Stock at the Beginning of 2025, Here’s How Much You’d Have Now. Tesla’s wild 2025 ended with a solid gain for the year. See what various investments made at the s...",1.0,positive,0.1,0.9,0.9,https://finance.yahoo.com/news/invested-500-more-tesla-stock-141305155.html
3,2026-01-09 17:05,Yahoo Entertainment,Jim Cramer Calls Tesla an “Enigma”,"Jim Cramer Calls Tesla an “Enigma”. Tesla, Inc. (NASDAQ:TSLA) is one of the Magnificent Seven stocks Jim Cramer recently reviewed. Cramer called the company’s CEO a “great business person,” as ...",0.0,neutral,0.1,0.9,0.0,https://finance.yahoo.com/news/jim-cramer-calls-tesla-enigma-170534548.html
4,2026-01-09 16:40,Barchart.com,Nio Ended a 4 Year-Losing Streak Last Year: What’s the 2026 Forecast for NIO Stock?,Nio Ended a 4 Year-Losing Streak Last Year: What’s the 2026 Forecast for NIO Stock?. NIO stock closed in the green last year after a long gap of four years. The stock's 2026 forecast looks positive as...,1.0,positive,0.1,0.9,0.9,https://www.barchart.com/story/news/36970753/nio-ended-a-4-year-losing-streak-last-year-whats-the-2026-forecast-for-nio-stock
5,2026-01-10 08:18,Yahoo Entertainment,Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term,Why Evercore Expects Tesla (TSLA) Shares to Trade Sideways in the Near Term. None,0.0,neutral,0.1,0.72,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_02295df3-34f5-4a4d-9816-b6116cb384b1
6,2026-01-09 12:10,The Wall Street Journal,China’s EV dominance at home is squeezing out foreign armakers,China’s EV dominance at home is squeezing out foreign armakers. China’s electrification trend helped local brands take nearly two-thirds of the country’s passenger-car market.,0.0,neutral,0.1,1.35,0.0,https://www.wsj.com/business/autos/china-auto-sales-slump-amid-slowing-demand-379e7c92
7,2026-01-09 14:55,Electrek,"Elon Musk’s xAI tells investors it will build AI for Tesla Optimus, amid breach of fiduciary duty la...","Elon Musk’s xAI tells investors it will build AI for Tesla Optimus, amid breach of fiduciary duty lawsuit. In a move that completely undermines the “Tesla is an AI company” narrative, Elon Musk’s priv...",1.0,positive,0.1,1.08,1.08,http://electrek.co/2026/01/09/elon-musk-xai-build-ai-tesla-optimus-amid-breach-of-fiduciary-duty-lawsuit/
8,2026-01-09 16:00,GlobeNewswire,"BingX introduces BingX TradFi, expanding access to global financial markets","BingX introduces BingX TradFi, expanding access to global financial markets. PANAMA CITY, Jan. 09, 2026 (GLOBE NEWSWIRE) -- BingX
, a leading cryptocurrency exchange and Web3 AI company, is excited t...",0.0,neutral,0.1,1.08,0.0,https://www.globenewswire.com/news-release/2026/01/09/3216200/0/en/BingX-introduces-BingX-TradFi-expanding-access-to-global-financial-markets.html
